,,,W6UL342PU,W6UL342PU,W6UL342PU,W6UL342PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL352PU,W6UL352PU,W6UL352PU,W6UL352PU,W6DXML001SU,W6DXML001SU,W6JML121PU,W6JML121PU,W6JML119SU,W6JML119SU,W6UML357SU,W6UML357SU,W6RML420SU,W6RML420SU,W6UGK243PU,W6UGK243PU,W6UGK243PU,W6UGK243PU
,,,BL,BL,CA,CA,BL,BL,TP,TP,BL,BL,NA,NA,BL,BR,BL,MA,BL,NA,BL,PL,BL,TP,MA,MA,CA,CA
,,,A,D,A,D,A,D,A,D,A,D,A,D,D,D,D,D,D,D,D,D,D,D,K124,K134,K124,K134
GN1,GARANKUWA,16,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
PHK,PHOKENG (BAFOKENG),16,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BOI,BOITEKONG,16,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
KR1,KEYA RONA,16,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BR1,BRITS MALL,16,1,,,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
XB1,SHOPRITE BRITS,16,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
BP1,BATHO PLAZA,16,,,,,1,,1,,1,,,,,,,,1,1,1,1,1,1,,,,
MV1,MAGALIES VIEW,16,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
LO1,LOTUS GARDENS,16,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
VO1,VOSLOOSRUS,16,,,,,,,,,,,,,1,1,,,,,,,,,,,,
SD1,SEDIBA PLAZA,16,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
PTS,PLATINUM SQUARE,16,,,,,,,,,,,,,1,1,,,,,,,,,,,,
KH1,KHAYELITSHA,CPT,1,,1,,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,
WK1,WESKUS,CPT,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
GF1,GOLDENACRE,CPT,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
VN1,VAN GATE,CPT,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
ZE1,ZEVENWACHT MALL,CPT,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BA1,BAYSIDE,CPT,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
GU1,GUGULETHU SQUARE,CPT,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
N1C,N1 CITY,CPT,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
WM1,WESTGATE MITCHELLS PLAIN,CPT,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
DE1,DEVILLE,CPT,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
SS1,SABLE SQUARE,CPT,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
GH1,GRABOUW,CPT,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
KW1,KENILWORTH,CPT,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
PR1,PAROW,CPT,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
PB1,PHILLIPI,CPT,,,,,,,,,1,,,,1,1,,,,,1,,1,1,,,,
CF1,WELGELEE PLEIN,CPT,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
CQ1,COLOSSEUM,CPT,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
WY1,WYNBERG,CPT,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
PB2,PHILLIPI SHOES,CPT,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
AT1,ATLANTIS CITY MALL,CPT,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
SP1,STATION PLAZA,CPT,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
TS1,TOWN SQUARE,CPT,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
PZ1,SPIN STREET,CPT,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
NY2,NYANGA COMBO,CPT,,,,,,,,,,,,,1,1,,,,,,,,,,,,
SWE,SWELLENDAM,CPT,,,,,,,,,,,,,1,1,,,,,,,,,,,,
MY1,MAYNARD MALL,CPT,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
GC1,GOODWOOD,CPT,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,
EJ1,ELSIES RIVER,CPT,,,,,,,,,,,,,1,1,,,,,,,,,,,,
PU1,PARMAL,CPT,,,,,,,,,,,,,1,1,,,,,,,,,,,,
GW1,GATEWAY,DBN,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,2,2,,1,,1
PV1,PAVILION,DBN,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
BC2,BRIDGE CITY 2,DBN,1,,1,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,
BJ1,BALITO JUNCTION,DBN,1,,1,,1,,1,,,,,,,,1,1,,,1,1,2,2,1,,1,
BC1,BRIDGE CITY,DBN,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,
CT1,CIRCLE TRIANGLE,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1
GA1,GREENACRES,EC,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
LI1,METLIFE MALL,EC,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
KD1,KINAKO,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
GIL,GILWELL,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
KAN,KANTU (ALICE),EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
MTP,MTHATA PLAZA,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
CT2,CIRCUS TRIANGLE,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
BTW,BUTTERWORTH,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MQA,MQANDULI,EC,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
